,fips
749,20149.0
750,20153.0
751,20155.0
752,20157.0
753,20159.0
754,20165.0
755,20167.0
756,20169.0
757,20173.0
758,20175.0
759,20177.0
760,20179.0
761,20181.0
762,20183.0
763,20185.0
764,20189.0
765,20191.0
766,20193.0
767,20195.0
768,20197.0
769,20199.0
770,20201.0
771,20203.0
772,20205.0
773,21001.0
774,21005.0
775,21007.0
776,21011.0
777,21015.0
778,21017.0
779,21021.0
780,21023.0
781,21025.0
782,21027.0
783,21029.0
784,21031.0
785,21033.0
786,21035.0
787,21037.0
788,21041.0
789,21045.0
790,21047.0
791,21049.0
792,21051.0
793,21053.0
794,21057.0
795,21059.0
796,21061.0
797,21063.0
798,21067.0
799,21069.0
800,21073.0
801,21075.0
802,21079.0
803,21081.0
804,21083.0
805,21085.0
806,21087.0
807,21089.0
808,21091.0
809,21093.0
810,21095.0
811,21097.0
812,21101.0
813,21103.0
814,21105.0
815,21107.0
816,21111.0
817,21113.0
818,21115.0
819,21117.0
820,21119.0
821,21121.0
822,21123.0
823,21125.0
824,21127.0
825,21129.0
826,21131.0
827,21133.0
828,21137.0
829,21141.0
830,21143.0
831,21145.0
832,21147.0
833,21151.0
834,21153.0
835,21155.0
836,21157.0
837,21161.0
838,21165.0
839,21167.0
840,21169.0
841,21173.0
842,21175.0
843,21177.0
844,21181.0
845,21189.0
846,21191.0
847,21195.0
848,21197.0
849,21199.0
850,21201.0
851,21203.0
852,21205.0
853,21207.0
854,21209.0
855,21211.0
856,21213.0
857,21215.0
858,21219.0
859,21221.0
860,21223.0
861,21227.0
862,21229.0
863,21233.0
864,21235.0
865,21237.0
866,22001.0
867,22005.0
868,22007.0
869,22011.0
870,22013.0
871,22015.0
872,22017.0
873,22019.0
874,22023.0
875,22025.0
876,22027.0
877,22029.0
878,22031.0
879,22033.0
880,22035.0
881,22037.0
882,22039.0
883,22041.0
884,22043.0
885,22045.0
886,22047.0
887,22049.0
888,22051.0
889,22053.0
890,22057.0
891,22059.0
892,22061.0
893,22063.0
894,22065.0
895,22067.0
896,22069.0
897,22071.0
898,22073.0
899,22075.0
900,22077.0
901,22079.0
902,22081.0
903,22083.0
904,22085.0
905,22087.0
906,22089.0
907,22095.0
908,22097.0
909,22101.0
910,22103.0
911,22107.0
912,22111.0
913,22113.0
914,22115.0
915,22119.0
916,22125.0
917,22127.0
918,23001.0
919,23003.0
920,23009.0
921,23011.0
922,23013.0
923,23015.0
924,23017.0
925,23019.0
926,23021.0
927,23023.0
928,23027.0
929,23029.0
930,23031.0
931,24003.0
932,24011.0
933,24013.0
934,24019.0
935,24021.0
936,24029.0
937,24031.0
938,24033.0
939,24035.0
940,24037.0
941,24043.0
942,24045.0
943,24047.0
944,24510.0
945,25001.0
946,25003.0
947,25007.0
948,25011.0
949,25013.0
950,25015.0
951,25019.0
952,25021.0
953,25025.0
954,25027.0
955,26003.0
956,26005.0
957,26009.0
958,26011.0
959,26015.0
960,26017.0
961,26023.0
962,26025.0
963,26027.0
964,26029.0
965,26033.0
966,26035.0
967,26037.0
968,26039.0
969,26041.0
970,26043.0
971,26047.0
972,26049.0
973,26051.0
974,26053.0
975,26057.0
976,26059.0
977,26061.0
978,26063.0
979,26065.0
980,26067.0
981,26069.0
982,26071.0
983,26073.0
984,26075.0
985,26077.0
986,26079.0
987,26081.0
988,26085.0
989,26087.0
990,26089.0
991,26091.0
992,26093.0
993,26095.0
994,26097.0
995,26099.0
996,26103.0
997,26105.0
998,26109.0
999,26111.0
1000,26113.0
1001,26119.0
1002,26121.0
1003,26123.0
1004,26125.0
1005,26127.0
1006,26129.0
1007,26131.0
1008,26133.0
1009,26137.0
1010,26139.0
1011,26143.0
1012,26145.0
1013,26147.0
1014,26149.0
1015,26151.0
1016,26153.0
1017,26155.0
1018,26159.0
1019,26161.0
1020,26165.0
1021,27001.0
1022,27003.0
1023,27005.0
1024,27007.0
1025,27011.0
1026,27013.0
